#{"t_start": 1698878488.844074, "env_id": "Pendulum-v1"}
r,l,t
-253.316727,200,73.781294
-3.459853,200,73.894047
-374.111336,200,74.00687
-3.5299,200,74.11978
-259.7402,200,74.232334
-245.815614,200,74.860001
-244.247672,200,74.972738
-379.685631,200,75.085577
-1.725657,200,75.198036
-127.620236,200,75.312916
-260.101923,200,75.939589
-642.626018,200,76.052353
-267.902599,200,76.165014
-255.449666,200,76.277751
-1.651616,200,76.390853
-129.231664,200,77.017272
-238.168956,200,77.130027
-380.209264,200,77.244764
-267.24961,200,77.357053
-129.122872,200,77.469403
-386.405398,200,78.095257
-132.796158,200,78.208289
-133.228961,200,78.321089
-130.840662,200,78.433635
-128.092531,200,78.546437
-1.919343,200,79.173187
-127.325708,200,79.287791
-406.889408,200,79.401119
-137.244966,200,79.514515
-125.33725,200,79.627115
-124.396129,200,80.254128
-378.112533,200,80.366482
-126.967534,200,80.479462
-354.449204,200,80.591926
-1.498272,200,80.704361
-271.968937,200,81.333133
-132.633014,200,81.445535
-1.741986,200,81.558039
-131.309189,200,81.670302
-3.009195,200,81.78296
-131.958302,200,81.895287
-373.275027,200,82.526299
-133.034942,200,82.63968
-411.313256,200,82.752742
-373.334175,200,82.867839
-395.69974,200,82.980638
-135.222829,200,83.607919
-3.865117,200,83.721138
-268.28765,200,83.834051
-268.700331,200,83.947322
-2.579665,200,84.060403
-427.321677,200,84.688216
-272.900165,200,84.803311
-132.792514,200,84.916358
-293.356661,200,85.029124
-272.504582,200,85.141591
-399.112242,200,85.768661
-413.048903,200,85.881702
-264.088833,200,85.994867
-410.0049,200,86.107724
-394.357582,200,86.221071
-134.068577,200,86.84974
-138.124466,200,86.962508
-0.647702,200,87.075642
-263.975724,200,87.188377
-1.673503,200,87.301229
-268.573862,200,87.92815
-139.214229,200,88.041006
-521.087429,200,88.153793
-404.935651,200,88.266717
-509.231251,200,88.381468
-520.812717,200,89.009356
-688.018079,200,89.12238
-543.522879,200,89.235171
-555.615113,200,89.348207
-255.751262,200,89.461668
-1.846087,200,90.089827
-411.072661,200,90.203109
-269.387621,200,90.31815
-528.661592,200,90.431123
-4.742252,200,90.54405
-135.039438,200,91.170902
-410.605818,200,91.283825
-0.942634,200,91.396896
-137.551271,200,91.509754
-3.395742,200,91.622568
-403.849767,200,91.735273
-277.557736,200,92.362841
-270.290935,200,92.475921
-345.659987,200,92.588505
-274.246033,200,92.701033
-410.856031,200,92.813552
-485.33045,200,93.438953
-271.71588,200,93.551509
-265.827793,200,93.664368
-267.219379,200,93.777015
-271.472461,200,93.8919
-386.468887,200,94.519277
-140.717236,200,94.631868
-401.646722,200,94.745316
-131.878138,200,94.858088
-403.388524,200,94.970911
-679.396241,200,95.597818
-138.477565,200,95.71041
-2.409271,200,95.823141
-565.656952,200,95.938049
-395.505244,200,96.050944
-259.555446,200,96.676619
-140.908073,200,96.78924
-422.282801,200,96.901766
-399.291689,200,97.014423
-1.340326,200,97.126884
-268.985132,200,97.755533
-543.942848,200,97.870782
-134.390516,200,97.983459
-399.624499,200,98.096176
-131.659338,200,98.208954
-0.652318,200,98.83639
-133.456177,200,98.949271
-242.795268,200,99.061981
-134.092802,200,99.174824
-131.444445,200,99.28735
-0.946489,200,99.917964
-0.789285,200,100.030798
-131.982198,200,100.143445
-269.242129,200,100.255858
-0.842986,200,100.368349
-134.307555,200,100.480722
-132.315244,200,101.107679
-419.391931,200,101.220254
-477.335937,200,101.332703
-523.239764,200,101.447663
-128.99729,200,101.560201
-268.094181,200,102.186742
-4.557006,200,102.299635
-262.720861,200,102.412097
-507.294781,200,102.524537
-315.104229,200,102.6368
-395.3696,200,103.263398
-126.555045,200,103.376051
-283.720623,200,103.490605
-1.714701,200,103.602898
-439.452024,200,103.715804
-384.548285,200,104.342044
-127.549134,200,104.455151
-406.969078,200,104.568221
-0.804468,200,104.68081
-1.378459,200,104.793677
-260.464374,200,105.419926
-262.84131,200,105.53493
-495.84955,200,105.64729
-3.186546,200,105.75981
-1.107331,200,105.872273
-133.525952,200,106.501586
-264.593224,200,106.615021
-262.598862,200,106.728122
-493.798513,200,106.841111
-129.705306,200,106.954034
-383.775508,200,107.583293
-241.73713,200,107.696435
-129.41761,200,107.809363
-260.785798,200,107.922317
-260.172712,200,108.035213
-495.929494,200,108.662138
-130.854054,200,108.775006
-130.418333,200,108.887964
-437.195425,200,109.003309
-268.468858,200,109.116023
-262.207468,200,109.229201
-385.119922,200,109.856698
-391.181063,200,109.969031
-380.137073,200,110.080861
-262.052356,200,110.192909
-619.828612,200,110.304834
-127.517121,200,110.928687
-123.518972,200,111.040725
-265.760621,200,111.155072
-389.671269,200,111.266912
-130.433032,200,111.37904
-135.51112,200,112.002278
-5.736511,200,112.114362
-304.441816,200,112.226433
-4.807685,200,112.338507
-377.440373,200,112.450604
-757.812609,200,113.073722
-272.444725,200,113.185911
-469.806314,200,113.300177
-289.882636,200,113.412067
-262.97541,200,113.524394
-265.688207,200,114.147686
-261.989904,200,114.259774
-135.083391,200,114.371647
-130.157193,200,114.484648
-134.163061,200,114.596754
-263.01612,200,115.220714
-269.643576,200,115.334521
-5.210201,200,115.446441
-4.420067,200,115.558682
-500.872443,200,115.670809
-136.315252,200,116.293986
-391.696328,200,116.40609
-463.922981,200,116.51823
-531.245401,200,116.630466
-408.509431,200,116.74218
-134.743764,200,117.365337
-261.331075,200,117.479325
-126.675635,200,117.591507
-409.464999,200,117.7037
-137.288186,200,117.815712
-137.004084,200,118.438739
-398.374865,200,118.550726
-274.566316,200,118.662827
-267.204354,200,118.774801
-625.058927,200,118.88684
-383.426644,200,118.99872
-1.745901,200,119.629738
-246.232567,200,119.74257
-134.654437,200,119.854716
-3.027404,200,119.966816
-131.857818,200,120.078861
-391.206846,200,120.703469
-382.41682,200,120.815921
-134.279335,200,120.928369
-396.235637,200,121.040521
-378.471246,200,121.155034
-254.529233,200,121.780502
-502.848032,200,121.892536
-132.682237,200,122.004762
-133.02651,200,122.117013
-263.479202,200,122.229242
-267.112249,200,122.854287
-273.86783,200,122.966788
-408.114631,200,123.079427
-514.482643,200,123.191773
-417.212432,200,123.306497
-554.325132,200,123.932002
-150.203725,200,124.044419
-5.51126,200,124.15681
-142.168965,200,124.269085
-515.063684,200,124.381516
-271.049856,200,125.008133
-394.286099,200,125.12055
-260.117953,200,125.232659
-250.689822,200,125.344821
-281.126238,200,125.459017
-140.741462,200,126.084958
-141.178995,200,126.197376
-401.314972,200,126.310616
-385.343906,200,126.424757
-137.569619,200,126.53694
-264.986466,200,127.161924
