#{"t_start": 1698683506.2044702, "env_id": "CarRacing-v2"}
r,l,t
706.557377,1000,9784.973743
470.945946,1000,9796.463601
790.459364,1000,9808.185245
797.435897,1000,9819.61275
424.590164,1000,9831.179123
682.918149,1000,9842.660778
684.452297,1000,9854.368941
842.65233,1000,9865.904093
800.0,1000,9877.508262
927.3,727,9885.774676
855.555556,1000,9897.452091
817.218543,1000,9909.232582
844.055944,1000,9921.051299
724.104235,1000,9932.82184
887.57764,1000,9944.680882
801.694915,1000,9956.435975
414.440418,989,9967.770216
623.880597,1000,9979.33535
576.056338,1000,9991.752994
181.496805,956,10002.761926
-0.289895,537,10008.807948
679.605263,1000,10020.62429
801.754386,1000,10032.321676
658.730159,1000,10043.894689
587.707641,1000,10055.513393
603.832753,1000,10067.253521
813.043478,1000,10079.160849
879.094077,1000,10090.83331
818.727915,1000,10102.612197
692.682927,1000,10114.644314
811.764706,1000,10126.279225
656.666667,1000,10137.876906
498.746082,1000,10149.715098
848.717949,1000,10161.285525
558.227848,1000,10172.91238
686.206897,1000,10184.522717
319.047619,1000,10196.169805
342.585366,941,10206.940114
550.735294,1000,10218.630054
621.875,1000,10230.591275
478.947368,1000,10242.57237
-77.913589,477,10247.857653
326.751592,1000,10259.313318
866.165414,1000,10270.867517
870.588235,1000,10282.370418
869.491525,1000,10294.11699
227.922078,1000,10305.809328
838.511327,1000,10317.712212
759.848485,1000,10329.271353
775.776398,1000,10341.33862
655.62701,1000,10353.136308
683.898305,1000,10364.55237
855.32646,1000,10376.204045
853.020134,1000,10387.941477
358.461538,1000,10399.880977
668.768769,1000,10412.066876
867.032967,1000,10423.655043
856.521739,1000,10435.437274
851.298701,1000,10447.389412
917.4,826,10456.826517
875.609756,1000,10468.536766
874.637681,1000,10480.170179
880.0,1000,10491.614404
839.799331,1000,10503.350471
779.858657,1000,10514.984624
583.501684,1000,10526.744988
863.235294,1000,10538.345449
851.672862,1000,10550.08923
870.29703,1000,10561.891536
543.75,1000,10573.871145
909.3,907,10584.53412
863.934426,1000,10596.336019
882.817869,1000,10607.95591
867.153285,1000,10619.374534
846.619217,1000,10631.051608
817.266187,1000,10642.726959
875.177305,1000,10654.345203
