#{"t_start": 1698676261.2022698, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,20.189694
-15.0,15,20.202744
-13.0,13,20.221338
-13.0,13,20.232014
-13.0,13,20.242338
-15.0,15,20.255437
-13.0,13,20.271397
-13.0,13,20.281488
-13.0,13,20.293323
-13.0,13,20.302829
-13.0,13,20.319392
-14.0,14,20.330984
-13.0,13,20.34171
-13.0,13,20.351226
-13.0,13,20.365782
-13.0,13,20.378325
-13.0,13,20.39036
-13.0,13,20.401898
-13.0,13,20.416188
-13.0,13,20.428196
-13.0,13,20.438663
-15.0,15,20.45273
-13.0,13,20.473755
-13.0,13,20.484097
-13.0,13,20.494442
-13.0,13,20.506496
-13.0,13,20.521436
-13.0,13,20.53094
-15.0,15,20.543493
-13.0,13,20.553717
-13.0,13,20.570083
-13.0,13,20.581426
-13.0,13,20.59175
-13.0,13,20.600803
-13.0,13,20.618366
-13.0,13,20.63068
-13.0,13,20.640626
-13.0,13,20.64963
-13.0,13,20.663534
-13.0,13,20.678153
-13.0,13,20.688416
-13.0,13,20.699392
-13.0,13,20.714191
-13.0,13,20.727904
-13.0,13,20.738564
-13.0,13,20.749467
-13.0,13,20.765845
-13.0,13,20.776406
-13.0,13,20.78693
-13.0,13,20.798483
-13.0,13,20.81407
-13.0,13,20.826553
-13.0,13,20.83746
-13.0,13,20.847925
-13.0,13,20.864869
-13.0,13,20.877393
-15.0,15,20.887942
-15.0,15,20.900458
-13.0,13,20.915696
-13.0,13,20.926498
-13.0,13,20.937642
-13.0,13,20.947927
-13.0,13,20.964546
-13.0,13,20.978149
-13.0,13,20.98775
-13.0,13,20.997092
-13.0,13,21.009818
-13.0,13,21.021037
-13.0,13,21.029538
-13.0,13,21.04029
-13.0,13,21.055287
-13.0,13,21.06697
-13.0,13,21.077935
-13.0,13,21.08862
-13.0,13,21.103539
-13.0,13,21.117211
-13.0,13,21.131251
-13.0,13,21.141778
-13.0,13,21.1597
-13.0,13,21.170508
-13.0,13,21.183027
-13.0,13,21.191833
-117.0,18,21.213602
-13.0,13,21.224596
